updateTime,2016-03-08
1단계,2단계,3단계,격자 X,격자 Y,경도(초/100),위도(초/100)
서울특별시,동대문구,답십리제1동,61,127,127.05422222222222,37.569275000000005
서울특별시,동대문구,답십리제2동,61,127,127.06157499999999,37.56915277777778
서울특별시,동대문구,장안제1동,61,127,127.06847777777777,37.56498611111111
서울특별시,동대문구,장안제2동,61,127,127.07530833333333,37.56840833333334
서울특별시,동대문구,청량리동,61,127,127.0472767,37.5862586
서울특별시,동대문구,회기동,61,127,127.05748888888888,37.588008333333335
서울특별시,동대문구,휘경제1동,61,127,127.06781944444444,37.590158333333335
서울특별시,동대문구,휘경제2동,61,127,127.06965555555556,37.58849444444445
서울특별시,동대문구,이문제1동,61,127,127.06763055555555,37.595
서울특별시,동대문구,이문제2동,61,127,127.05861944444445,37.59173055555556
서울특별시,중랑구,,62,128,127.09477777777778,37.60380555555556
서울특별시,중랑구,면목제2동,62,127,127.08113333333333,37.586983333333336
서울특별시,중랑구,면목제4동,62,127,127.08762222222222,37.57181666666667
서울특별시,중랑구,면목제5동,62,127,127.08172222222221,37.58304722222223
서울특별시,중랑구,면목본동,62,127,127.08967777777778,37.584561111111114
서울특별시,중랑구,면목제7동,62,127,127.0890861111111,37.5762
서울특별시,중랑구,면목제3.8동,62,127,127.09021944444444,37.58023611111111
서울특별시,중랑구,상봉제1동,62,127,127.08928888888889,37.59702777777778
서울특별시,중랑구,상봉제2동,62,127,127.08538888888889,37.58961111111111
서울특별시,중랑구,중화제1동,62,127,127.08277777777778,37.59838611111111
서울특별시,중랑구,중화제2동,62,127,127.07702222222221,37.592216666666666
서울특별시,중랑구,묵제1동,62,128,127.0805861111111,37.60962222222222
서울특별시,중랑구,묵제2동,62,128,127.07814444444445,37.60679722222223
서울특별시,중랑구,망우본동,62,127,127.10846388888888,37.59869166666667
서울특별시,중랑구,망우제3동,62,127,127.10026666666666,37.58957777777778
서울특별시,중랑구,신내1동,62,128,127.10155277777777,37.60308333333334
서울특별시,중랑구,신내2동,62,128,127.09627499999999,37.603430555555555
서울특별시,성북구,,61,127,127.02033333333333,37.58638333333334
서울특별시,성북구,성북동,60,127,127.00608611111112,37.58744166666667
서울특별시,성북구,삼선동,60,127,127.00955555555555,37.58284722222223
서울특별시,성북구,동선동,61,127,127.02250833333333,37.59127777777778
서울특별시,성북구,돈암제1동,61,127,127.0282888888889,37.60050833333334
서울특별시,성북구,돈암제2동,60,127,127.01271111111112,37.59525555555556
서울특별시,성북구,안암동,61,127,127.02347777777777,37.583058333333334
서울특별시,성북구,보문동,61,127,127.0249,37.57758888888889
서울특별시,성북구,정릉제1동,60,127,127.01874166666667,37.598641666666666
